Deficit,SNOMEDCT_CONCEPTID,CTV3,Provenance,Codedescription,TimeConstraintyears,AgeLimit,Otherinstructions,new_descriptions
Cancer,115232000,B226.00,mar-cancer,mesothelioma,,,,Mesothelial neoplasm
Cancer,62064005,B226.00,mar-cancer,mesothelioma,,,,"Mesothelioma, malignant"
Cancer,363358000,B22y.00,mar-cancer,malignant neoplasm of other sites of bronchus or lung,,,,Malignant tumor of lung
Cancer,363433009,B23..,,Cancer of pleura,,,,Malignant tumour of pleura
Cancer,93948004,B230.,,Malig neop parietal pleura,,,,Malignant neoplasm of parietal pleura
Cancer,449067008,B230.00,mar-cancer,malignant neoplasm of parietal pleura,,,,Malignant neoplasm of parietal pleura (disorder)
Cancer,94140004,B231.,,Malig neop visceral pleura,,,,Malignant neoplasm of visceral pleura
Cancer,449308006,B231.,,Malig neop visceral pleura,,,,Malignant neoplasm of visceral pleura (disorder)
Cancer,254645002,B232.00,mar-cancer,mesothelioma of pleura,,,,Malignant mesothelioma of pleura
Cancer,187881004,B24..00,mar-cancer,"malignant neoplasm of thymus, heart and mediastinum",,,,"Malignant neoplasm of thymus, heart and mediastinum"
Cancer,363434003,B240.,,Malignant neoplasm of thymus,,,,Malignant tumor of thymus
Cancer,363435002,B241.,,Malignant neoplasm of heart,,,,Malignant tumour of heart
Cancer,363436001,B2410,,Malig neop endocardium,,,,Malignant tumor of endocardium
Cancer,93782004,B2411,,Malig neop epicardium,,,,Malignant neoplasm of epicardium
Cancer,363437005,B2412,,Malig neop myocardium,,,,Malignant tumour of myocardium
Cancer,93957005,B241300,mar-cancer,malignant neoplasm of pericardium,,,,Malignant neoplasm of pericardium
Cancer,93671004,B242.,,Malig neop ant mediastinum,,,,Malignant neoplasm of anterior mediastinum
Cancer,449224009,B242.00,mar-cancer,malignant neoplasm of anterior mediastinum,,,,Malignant neoplasm of anterior mediastinum (disorder)
Cancer,448670003,B243.,,Malig neop post mediastinum,,,,Malignant neoplasm of posterior mediastinum (disorder)
Cancer,93969002,B243.00,mar-cancer,malignant neoplasm of posterior mediastinum,,,,Malignant neoplasm of posterior mediastinum
Cancer,363494000,B24X.00,mar-cancer,"malignant neoplasm of mediastinum, part unspecified",,,,Malignant tumor of mediastinum
Cancer,109384006,B25..00,mar-cancer,"malig neo, overlapping lesion of heart, mediastinum & pleura",,,,"Overlapping malignant neoplasm of heart, mediastinum and pleura"
Cancer,93841009,B26..00,mar-cancer,"malignant neoplasm, overlap lesion of resp & intrathor orgs",,,,Malignant neoplasm of intrathoracic organs
Cancer,94118008,B2z0.,,Malig neop up resp tract unspe,,,,Malignant neoplasm of upper respiratory tract
Cancer,93986008,B2zy.00,mar-cancer,malignant neoplasm of other site of respiratory tract,,,,Malignant neoplasm of respiratory tract
Cancer,449096009,B2zz.,,Malig neop resp tract NOS,,,,Malignant neoplasm of respiratory system (disorder)
Cancer,255067005,B3...00,mar-cancer,"malig neop of bone, connective tissue, skin and breast",,,,Sarcoma of bone and connective tissue
Cancer,255068000,B3...12,mar-cancer,sarcoma of bone and connective tissue,,,,"Carcinoma of bone, connective tissue, skin and breast"
Cancer,271467005,B3...12,mar-cancer,sarcoma of bone and connective tissue,,,,"Malignant neoplasm of bone, connective tissue, skin and breast"
Cancer,443679004,B30..00,mar-cancer,malignant neoplasm of bone and articular cartilage,,,,Malignant neoplasm of skeletal system (disorder)
Cancer,187900002,B300.,,Malig neop bones of skull/face,,,,Malignant neoplasm of bones of skull and face
Cancer,93786001,B300000,mar-cancer,malignant neoplasm of ethmoid bone,,,,Malignant neoplasm of ethmoid bone
Cancer,93806005,B3001,,Malig neop frontal bone,,,,Malignant neoplasm of frontal bone
Cancer,187903000,B3002,,Malig neop malar bone,,,,Malignant neoplasm of malar bone
Cancer,93916003,B3003,,Malig neop nasal bone,,,,Malignant neoplasm of nasal bone
Cancer,93927001,B3004,,Malig neop occipital bone,,,,Malignant neoplasm of occipital bone
Cancer,187906008,B300500,mar-cancer,malignant neoplasm of orbital bone,,,,Malignant neoplasm of orbital bone
Cancer,93945001,B3006,,Malig neop parietal bone,,,,Malignant neoplasm of parietal bone
Cancer,94066004,B300700,mar-cancer,malignant neoplasm of sphenoid bone,,,,Malignant neoplasm of sphenoid bone
Cancer,94085001,B3008,,Malig neop temporal bone,,,,Malignant neoplasm of temporal bone
Cancer,94145009,B3009,,Malig neop zygomatic bone,,,,Malignant neoplasm of zygomatic bone
Cancer,93888008,B300A,,Malignant neoplasm of maxilla,,,,Malignant neoplasm of maxilla
Cancer,94142007,B300C00,mar-cancer,malignant neoplasm of vomer,,,,Malignant neoplasm of vomer
Cancer,93886007,B301.,,Malignant neoplasm of mandible,,,,Malignant neoplasm of mandible
Cancer,448668007,B301.00,mar-cancer,malignant neoplasm of mandible,,,,Malignant neoplasm of mandible (disorder)
Cancer,363438000,B302.,,CA - Cancer of spine,,,,Malignant tumor of vertebral column
Cancer,187916000,B302000,mar-cancer,malignant neoplasm of cervical vertebra,,,,Malignant neoplasm of cervical vertebra
Cancer,187917009,B302100,mar-cancer,malignant neoplasm of thoracic vertebra,,,,Malignant neoplasm of thoracic vertebra
Cancer,187918004,B3022,,Malig neop lumbar vertebra,,,,Malignant neoplasm of lumbar vertebra
Cancer,187920001,B303.00,mar-cancer,"malignant neoplasm of ribs, sternum and clavicle",,,,"Malignant neoplasm of ribs, sternum and clavicle"
Cancer,93990005,B303000,mar-cancer,malignant neoplasm of rib,,,,Malignant neoplasm of rib
Cancer,94073009,B3031,,Malignant neoplasm of sternum,,,,Malignant neoplasm of sternum
Cancer,93757004,B3032,,Malignant neoplasm of clavicle,,,,Malignant neoplasm of clavicle
Cancer,187925006,B303300,mar-cancer,malignant neoplasm of costal cartilage,,,,Malignant neoplasm of costal cartilage
Cancer,187926007,B3034,,Malig neop costo-vertebral jnt,,,,Malignant neoplasm of costovertebral joint
Cancer,187927003,B303500,mar-cancer,malignant neoplasm of xiphoid process,,,,Malignant neoplasm of xiphoid process
Cancer,187929000,B304.,,Malig neop scap/arm long bone,,,,Malignant neoplasm of scapula and long bones of upper arm
Cancer,93997008,B304000,mar-cancer,malignant neoplasm of scapula,,,,Malignant neoplasm of scapula
Cancer,93661001,B3041,,Malignant neoplasm of acromion,,,,Malignant neoplasm of acromion
Cancer,187932002,B3042,,Malignant neoplasm of humerus,,,,Malignant neoplasm of humerus
Cancer,93979000,B3043,,Malignant neoplasm of radius,,,,Malignant neoplasm of radius
Cancer,94112009,B304400,mar-cancer,malignant neoplasm of ulna,,,,Malignant neoplasm of ulna
Cancer,269467007,B305.,,Malig neop metacarpal bones,,,,Malignant neoplasm of hand bones
Cancer,255091001,B305.00,mar-cancer,malignant neoplasm of hand bones,,,,Malignant neoplasm of metacarpal bones
Cancer,255090000,B305.12,mar-cancer,malignant neoplasm of metacarpal bones,,,,Malignant neoplasm of carpal bones
Cancer,187937008,B305000,mar-cancer,malignant neoplasm of carpal bone - scaphoid,,,,Malignant neoplasm of carpal bone - scaphoid
Cancer,187938003,B305100,mar-cancer,malignant neoplasm of carpal bone - lunate,,,,Malignant neoplasm of carpal bone - lunate
Cancer,187939006,B3052,,Malig neop carpal - triquetrum,,,,Malignant neoplasm of carpal bone - triquetrum
Cancer,187940008,B3053,,Malig neop carpal - pisiform,,,,Malignant neoplasm of carpal bone - pisiform
